********************************************
コンピュータ名	：WANIWANI
ユーザ名	：ALLIGATOR
********************************************
11：49：57　[M]
11：49：57　[K]
11：49：57　[D]
11：49：57　[I]
11：49：58　[R]
11：49：58　[Space]
11：49：58　[S]
11：49：58　[T]
11：49：59　[E]
11：49：59　[G]
11：49：59　[H]
11：49：59　[I]
11：49：59　[D]
11：50：00　[E]
11：50：00　[Enter]
11：50：00　[C]
11：50：01　[P]
11：50：01　[Space]
11：50：01　[O]
11：50：02　[R]
11：50：02　[I]
11：50：02　[G]
11：50：02　[I]
11：50：02　[N]
11：50：02　[A]
11：50：03　[L]
11：50：03　[.]
11：50：04　[J]
11：50：04　[P]
11：50：04　[G]
11：50：05　[Space]
11：50：05　[.]
11：50：05　[/]
11：50：06　[S]
11：50：06　[T]
11：50：06　[E]
11：50：06　[G]
11：50：07　[H]
11：50：07　[I]
11：50：07　[D]
11：50：07　[E]
11：50：07　[Enter]
11：50：08　[C]
11：50：08　[D]
11：50：08　[Space]
11：50：09　[S]
11：50：10　[T]
11：50：10　[E]
11：50：10　[G]
11：50：10　[H]
11：50：10　[I]
11：50：10　[D]
11：50：11　[E]
11：50：11　[Enter]
11：50：15　[E]
11：50：15　[C]
11：50：15　[H]
11：50：15　[O]
11：50：16　[Space]
11：50：23　[Shift]
11：50：24　[F]
11：50：26　[Shift]
11：50：26　[L]
11：50：27　[Shift]
11：50：27　[A]
11：50：28　[Shift]
11：50：28　[G]
11：50：29　[Shift]
11：50：29　[[]
11：50：31　[K]
11：50：32　[3]
11：50：33　[Y]
11：50：35　[Shift]
11：50：35　[-]
11：50：36　[L]
11：50：36　[0]
11：50：37　[G]
11：50：38　[G]
11：50：38　[3]
11：50：38　[R]
11：50：41　[Shift]
11：50：41　[-]
11：50：41　[1]
11：50：42　[S]
11：50：43　[Shift]
11：50：43　[-]
11：50：44　[V]
11：50：45　[3]
11：50：47　[R]
11：50：47　[Y]
11：50：47　[Shift]
11：50：47　[-]
11：50：49　[D]
11：50：49　[4]
11：50：50　[N]
